# Program:featureCounts v2.0.0; Command:"featureCounts" "-a" "/home/zainabkamel/Desktop/PROJECT/SAMPLE_DATA/Homo_sapiens.GRCh38.99.chromosome.15.gtf" "-g" "gene_id" "-o" "counts.txt" "hs_T47D_shCTRL_RNAseq_rep1.bam" "hs_T47D_shCTRL_RNAseq_rep2.bam" "hs_T47D_shNR2F2_RNAseq_rep1.bam" "hs_T47D_shNR2F2_RNAseq_rep2.bam" 
Geneid	hs_T47D_shCTRL_RNAseq_rep1.bam	hs_T47D_shCTRL_RNAseq_rep2.bam	hs_T47D_shNR2F2_RNAseq_rep1.bam	hs_T47D_shNR2F2_RNAseq_rep2.bam
ENSG00000215567	7	2	5	2
ENSG00000201241	1	1	1	0
ENSG00000258463	0	1	2	0
ENSG00000274347	0	0	0	0
ENSG00000188403	0	0	0	0
ENSG00000258706	0	0	0	0
ENSG00000259337	0	0	0	0
ENSG00000259490	0	0	2	0
ENSG00000270961	0	0	0	0
ENSG00000271317	0	0	0	0
ENSG00000282520	0	0	0	0
ENSG00000282599	0	0	0	0
ENSG00000271336	0	0	0	0
ENSG00000277988	0	0	0	0
ENSG00000259769	0	0	0	0
ENSG00000258397	14	17	28	3
ENSG00000239471	0	0	0	0
ENSG00000258410	0	0	0	0
ENSG00000278935	0	0	1	0
ENSG00000258780	77	93	105	29
ENSG00000258628	131	149	217	57
ENSG00000259156	156	142	140	40
ENSG00000287122	2	1	7	0
ENSG00000258654	5	7	4	0
ENSG00000180229	120	109	110	31
ENSG00000258488	0	0	2	0
ENSG00000277322	1	1	7	0
ENSG00000258797	0	0	0	0
ENSG00000181984	0	1	0	1
ENSG00000278497	0	0	0	0
ENSG00000258916	0	0	0	0
ENSG00000258707	3	2	8	1
ENSG00000270685	0	0	0	0
ENSG00000278626	1	1	0	0
ENSG00000258590	11	9	7	0
ENSG00000279628	0	0	0	0
ENSG00000260409	1	6	4	1
ENSG00000238478	0	0	0	0
ENSG00000259383	0	0	0	0
ENSG00000259443	0	0	0	0
ENSG00000258420	0	0	0	0
ENSG00000274499	22	21	54	11
ENSG00000259089	2	0	0	0
ENSG00000259214	0	0	0	0
ENSG00000265322	0	0	0	0
ENSG00000230031	0	0	0	0
ENSG00000238489	0	0	0	0
ENSG00000261048	0	0	0	0
ENSG00000261554	0	0	0	0
ENSG00000258799	0	0	0	0
ENSG00000270831	11	11	10	3
ENSG00000266545	0	0	0	0
ENSG00000258710	1	1	0	0
ENSG00000258855	0	0	0	0
ENSG00000258494	0	0	0	0
ENSG00000270824	0	0	0	0
ENSG00000270451	0	0	0	0
ENSG00000282089	0	0	0	0
ENSG00000282268	0	0	0	0
ENSG00000270185	0	0	0	0
ENSG00000259698	0	0	0	0
ENSG00000259025	0	0	0	0
ENSG00000258771	20	20	15	5
ENSG00000243059	0	0	0	0
ENSG00000260986	0	0	0	0
ENSG00000279595	1	1	1	1
ENSG00000258684	74	73	107	24
ENSG00000258883	0	0	0	0
ENSG00000237161	1877	2494	2328	685
ENSG00000247765	6	5	2	2
ENSG00000207289	0	0	0	0
ENSG00000280881	0	0	0	0
ENSG00000280703	0	0	0	0
ENSG00000258415	1	0	0	0
ENSG00000268531	1	5	3	1
ENSG00000258712	7	10	21	9
ENSG00000258767	1	3	1	0
ENSG00000258848	1	0	0	0
ENSG00000277243	0	0	0	0
ENSG00000278522	2	0	1	0
ENSG00000275174	0	0	0	0
ENSG00000281347	0	0	0	0
ENSG00000277841	0	0	0	0
ENSG00000287345	0	0	0	0
ENSG00000284834	0	0	0	0
ENSG00000284788	0	0	0	0
ENSG00000280709	0	0	0	0
ENSG00000284988	0	0	0	0
ENSG00000279639	0	0	0	0
ENSG00000259324	0	0	0	0
ENSG00000285491	0	0	0	0
ENSG00000285116	0	0	0	0
ENSG00000182974	0	0	0	0
ENSG00000279408	0	0	0	0
ENSG00000279445	0	0	0	0
ENSG00000281113	0	0	0	0
ENSG00000281087	54	77	61	17
ENSG00000281179	0	0	0	0
ENSG00000281550	0	0	0	0
ENSG00000278263	0	0	0	0
ENSG00000280655	0	0	0	0
ENSG00000265793	0	0	0	0
ENSG00000233917	0	0	0	0
ENSG00000200790	0	0	0	0
ENSG00000258585	0	1	0	0
ENSG00000258997	2	1	2	1
ENSG00000264902	0	0	0	0
ENSG00000283524	0	0	0	0
ENSG00000285405	0	0	0	0
ENSG00000284500	0	0	0	0
ENSG00000258721	2	0	0	0
ENSG00000285472	0	0	0	0
ENSG00000283680	0	0	0	0
ENSG00000285135	0	0	0	0
ENSG00000284892	0	0	0	0
ENSG00000274102	0	0	0	0
ENSG00000183706	0	0	0	0
ENSG00000259435	0	0	0	0
ENSG00000260739	0	0	0	0
ENSG00000223877	0	0	0	0
ENSG00000270505	0	0	0	0
ENSG00000271288	0	0	0	0
ENSG00000259261	0	0	0	0
ENSG00000270356	0	0	0	0
ENSG00000271507	0	0	0	0
ENSG00000221641	0	0	0	0
ENSG00000259098	25	29	25	6
ENSG00000258732	64	42	45	9
ENSG00000274835	0	0	0	0
ENSG00000273679	39	65	96	34
ENSG00000274279	0	0	0	0
ENSG00000185182	0	0	0	0
ENSG00000274568	0	0	0	0
ENSG00000275363	6	4	1	0
ENSG00000277865	0	1	0	0
ENSG00000281909	0	0	0	0
ENSG00000276550	297	385	397	118
ENSG00000277561	0	0	1	0
ENSG00000277515	0	0	0	0
ENSG00000276141	87	75	78	17
ENSG00000277435	8	16	8	2
ENSG00000283273	4	5	9	3
ENSG00000277867	1	3	8	1
ENSG00000275325	364	429	456	139
ENSG00000277755	0	0	0	0
ENSG00000274253	5	5	2	0
ENSG00000259425	0	0	1	0
